sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF22abtjefa,0.01153,0.0003099999999999995,3.0000000000000512e-05,5.75,0.25,0.21999999999999975,171.6257007330746,570000000000.0,940000000000.0,4.975e+50,3.9299999999999933e+49,2.4000000000000384e+48,1.983e+50,1.6999999999999995e+49,7.399999999999987e+48,3816.0,210.0,14.0,-15.06,-15.06,1.0864256236170689e+21
ZTF24aaplfjd,0.03054,0.0006500000000000013,0.0005999999999999998,11.217,2.1639999999999997,2.6340000000000003,312.92223659623403,16453000000000.0,20060000000000.0,1.808e+51,5.619999999999998e+50,7.730000000000002e+50,5.317e+50,2.577e+50,1.7113000000000002e+51,5200.0,498.0,492.0,-15.99,-16.0,3.3750000000000024e+21
ZTF23aaphnyz,0.2034,0.007300000000000001,0.01830000000000001,13.309,2.245079999999998,0.4720799999999876,405.0596521489148,5440799999999.98,6110000000000.0,4.875e+51,1.038e+51,1.1900000000000011e+50,3.086e+51,1.3549999999999997e+51,1.690000000000005e+50,7889.0,481.0,245.0,-18.07,-18.07,3.3750000000000024e+21
ZTF23abnogui,0.01186,0.0002900000000000003,8.99999999999998e-05,8.061,0.0519999999999996,0.5820000000000007,148.19606152077046,522000000000.0,530000000000.0,7.908e+50,6.090000000000003e+49,8.40000000000001e+48,6.083e+50,2.7699999999999983e+49,3.629999999999999e+49,4031.0,288.0,58.0,-15.58,-15.58,2.2284351492702984e+21
ZTF24aajxppf,0.1086,0.004199999999999995,0.0040000000000000036,8.089,0.6870000000000003,0.1739999999999995,179.6751473336208,3045000000000.0,160000000000.0,4.029e+51,5.199999999999996e+50,4.800000000000044e+49,3.83e+51,8.19999999999998e+49,1.0300000000000001e+51,9137.0,386.0,164.0,-18.01,-18.01,3.3750000000000024e+21
ZTF24aaejecr,0.01888,0.0002599999999999998,0.00017,8.577,0.44599999999999973,0.3249999999999993,397.2976857841023,2050000000000.0,1820000000000.0,1.341e+51,7.399999999999995e+49,4.700000000000012e+49,3.342e+50,2.6000000000000014e+49,2.739999999999999e+49,5120.0,156.0,135.0,-16.02,-16.02,3.3750000000000024e+21
ZTF19aailepg,0.1287,0.001799999999999996,0.004500000000000004,22.186,1.7049999999999983,0.9869999999999983,449.4753485697858,7080000000000.0,10220000000000.0,8.427e+51,6.219999999999997e+50,6.090000000000003e+50,1.752e+51,4.63e+50,4.46e+50,7985.0,222.0,328.0,-17.11,-17.11,3.3750000000000024e+21
ZTF22aaolwsd,0.01737,0.00020999999999999838,0.0002599999999999998,15.731,0.7449999999999992,0.7320000000000011,157.68290929998562,460000000000.0,1220000000000.0,2.985e+51,1.3099999999999989e+50,1.5100000000000018e+50,8.633e+51,8.049999999999993e+50,4.460000000000003e+50,5639.0,174.0,199.0,-18.1,-18.1,3.3750000000000024e+21
ZTF19abqrhvt,0.1371,0.007000000000000006,0.010199999999999987,7.057,0.3290000000000006,0.3219999999999992,1011.6429495472187,6480000000000.0,7080000000000.0,4.103e+51,2.31e+50,2.4900000000000035e+50,5.982e+50,6.019999999999996e+49,6.090000000000003e+49,9871.0,330.0,309.0,-18.09,-18.09,3.3750000000000024e+21
ZTF21aapkcmr,0.07407,0.003979999999999997,0.004619999999999999,8.679,0.6390000000000011,0.6009999999999991,873.6524363949978,10750000000000.0,10660000000000.0,5.161e+51,5.329999999999997e+50,3.5299999999999974e+50,8.029e+50,1.3539999999999997e+50,1.8289999999999992e+50,9979.0,527.0,411.0,-17.55,-18.1,3.3750000000000024e+21
